planid	partnb	id	type	actual	nominal	uppertol	lowertol	deviation	exceed	featureid	featuresigma	comment	link	linkmode	mmc	useruppertol	userlowertol	fftphi	fftphiunit	zoneroundnessangle	groupname	groupname2	idsymbol	idshort	K2005class
35.7371 Grinding in process M05710	222	Profile crowning (Ch) (-3.50; 38; Left-Coast)	Profile crowning (Ch) (-3.50; 38; Left-Coast)	0.003089363846073	0.00400	0.003000	-0.004000																643	Ch____438L	3
35.7371 Grinding in process M05710	222	Profile crowning (Ch) (-6.50; 38; Left-Coast)	Profile crowning (Ch) (-6.50; 38; Left-Coast)	0.006961367187584	0.00400	0.003000	-0.004000																643	Ch____738L	3
35.7371 Grinding in process M05710	222	Angular lead error (fHb) (94.99; 1; Right-Drive)	Angular lead error (fHb) (94.99; 1; Right-Drive)	0.001241325177837	0.00000	0.008000	-0.007000																651	fHb__95_1R	3
35.7371 Grinding in process M05710	222	Angular lead error (fHb) (94.99; 13; Right-Drive)	Angular lead error (fHb) (94.99; 13; Right-Drive)	0.000545198759662	0.00000	0.008000	-0.007000																651	fHb__9513R	3
35.7371 Grinding in process M05710	222	Angular lead error (fHb) (94.99; 26; Right-Drive)	Angular lead error (fHb) (94.99; 26; Right-Drive)	0.001979133927312	0.00000	0.008000	-0.007000																651	fHb__9526R	3
35.7371 Grinding in process M05710	222	Angular lead error (fHb) (94.99; 38; Right-Drive)	Angular lead error (fHb) (94.99; 38; Right-Drive)	0.001116663364856	0.00000	0.008000	-0.007000																651	fHb__9538R	3
35.7371 Grinding in process M05710	222	Lead - variation angular deviation (varFHb) (Right-Drive)	Lead - variation angular deviation (varFHb) (Right-Drive)	0.001433935167650	0.00000	0.014000	0.000000																0	vfHa_____R	3
35.7371 Grinding in process M05710	222	Lead form error (ffb) (94.99; 1; Right-Drive)	Lead form error (ffb) (94.99; 1; Right-Drive)	0.001375724953151	0.00000	0.005000	0.000000																621	ffb__95_1R	3
35.7371 Grinding in process M05710	222	Lead form error (ffb) (94.99; 13; Right-Drive)	Lead form error (ffb) (94.99; 13; Right-Drive)	0.001300339247259	0.00000	0.005000	0.000000																621	ffb__9513R	3
35.7371 Grinding in process M05710	222	Lead form error (ffb) (94.99; 26; Right-Drive)	Lead form error (ffb) (94.99; 26; Right-Drive)	0.001340241154094	0.00000	0.005000	0.000000																621	ffb__9526R	3
35.7371 Grinding in process M05710	222	Lead form error (ffb) (94.99; 38; Right-Drive)	Lead form error (ffb) (94.99; 38; Right-Drive)	0.001002259929885	0.00000	0.005000	0.000000																621	ffb__9538R	3
35.7371 Grinding in process M05710	222	Lead crowning (Cb) (94.99; 1; Right-Drive)	Lead crowning (Cb) (94.99; 1; Right-Drive)	0.000626942706688	0.00200	0.002000	-0.002000																642	Cb___95_1R	3
35.7371 Grinding in process M05710	222	Lead crowning (Cb) (94.99; 13; Right-Drive)	Lead crowning (Cb) (94.99; 13; Right-Drive)	0.000029194910590	0.00200	0.002000	-0.002000																642	Cb___9513R	3
35.7371 Grinding in process M05710	222	Lead crowning (Cb) (94.99; 26; Right-Drive)	Lead crowning (Cb) (94.99; 26; Right-Drive)	0.000182985438744	0.00200	0.002000	-0.002000																642	Cb___9526R	3
35.7371 Grinding in process M05710	222	Lead crowning (Cb) (94.99; 38; Right-Drive)	Lead crowning (Cb) (94.99; 38; Right-Drive)	0.000017306794309	0.00200	0.002000	-0.002000																642	Cb___9538R	3
35.7371 Grinding in process M05710	222	Angular lead error (fHb) (94.99; 1; Left-Coast)	Angular lead error (fHb) (94.99; 1; Left-Coast)	-0.004874324450800	0.00000	0.008000	-0.007000																651	fHb__95_1L	3
35.7371 Grinding in process M05710	222	Angular lead error (fHb) (94.99; 13; Left-Coast)	Angular lead error (fHb) (94.99; 13; Left-Coast)	-0.005427124925648	0.00000	0.008000	-0.007000																651	fHb__9513L	3
35.7371 Grinding in process M05710	222	Angular lead error (fHb) (94.99; 26; Left-Coast)	Angular lead error (fHb) (94.99; 26; Left-Coast)	-0.003951783911435	0.00000	0.008000	-0.007000																651	fHb__9526L	3
35.7371 Grinding in process M05710	222	Angular lead error (fHb) (94.99; 38; Left-Coast)	Angular lead error (fHb) (94.99; 38; Left-Coast)	-0.004725473968739	0.00000	0.008000	-0.007000																651	fHb__9538L	3
35.7371 Grinding in process M05710	222	Lead - variation angular deviation (varFHb) (Left-Coast)	Lead - variation angular deviation (varFHb) (Left-Coast)	0.001475341014214	0.00000	0.014000	0.000000																0	vfHa_____L	3
35.7371 Grinding in process M05710	222	Lead form error (ffb) (94.99; 1; Left-Coast)	Lead form error (ffb) (94.99; 1; Left-Coast)	0.001759782375831	0.00000	0.005000	0.000000																621	ffb__95_1L	3
35.7371 Grinding in process M05710	222	Lead form error (ffb) (94.99; 13; Left-Coast)	Lead form error (ffb) (94.99; 13; Left-Coast)	0.002428826242440	0.00000	0.005000	0.000000																621	ffb__9513L	3
35.7371 Grinding in process M05710	222	Lead form error (ffb) (94.99; 26; Left-Coast)	Lead form error (ffb) (94.99; 26; Left-Coast)	0.002158791617228	0.00000	0.005000	0.000000																621	ffb__9526L	3
35.7371 Grinding in process M05710	222	Lead form error (ffb) (94.99; 38; Left-Coast)	Lead form error (ffb) (94.99; 38; Left-Coast)	0.001205939362672	0.00000	0.005000	0.000000																621	ffb__9538L	3
35.7371 Grinding in process M05710	222	Lead crowning (Cb) (94.99; 1; Left-Coast)	Lead crowning (Cb) (94.99; 1; Left-Coast)	0.001791185770612	0.00200	0.002000	-0.002000																642	Cb___95_1L	3
35.7371 Grinding in process M05710	222	Lead crowning (Cb) (94.99; 13; Left-Coast)	Lead crowning (Cb) (94.99; 13; Left-Coast)	0.002045170183188	0.00200	0.002000	-0.002000																642	Cb___9513L	3
35.7371 Grinding in process M05710	222	Lead crowning (Cb) (94.99; 26; Left-Coast)	Lead crowning (Cb) (94.99; 26; Left-Coast)	0.001585602736753	0.00200	0.002000	-0.002000																642	Cb___9526L	3
35.7371 Grinding in process M05710	222	Lead crowning (Cb) (94.99; 38; Left-Coast)	Lead crowning (Cb) (94.99; 38; Left-Coast)	0.001580218502145	0.00200	0.002000	-0.002000																642	Cb___9538L	3
35.7371 Grinding in process M05710	222	Individual pitch error (fp) (pos: 95.24 -3.50; Right-Drive 7)	Individual pitch error (fp) (pos: 95.24 -3.50; Right-Drive 7)	0.002734282201585	0.00000	0.013000	0.000000																601	kfp___4__R	3
35.7371 Grinding in process M05710	222	Cumulative pitch error (Fp) (pos: 95.24 -3.50; Right-Drive 7)	Cumulative pitch error (Fp) (pos: 95.24 -3.50; Right-Drive 7)	0.014176691217173	0.00000	0.041000	0.000000																604	Fp____4__R	3
35.7371 Grinding in process M05710	222	Individual pitch error (fp) (pos: 95.24 -3.50; Left-Coast 7)	Individual pitch error (fp) (pos: 95.24 -3.50; Left-Coast 7)	0.002584557450431	0.00000	0.013000	0.000000																601	kfp___4__L	3
35.7371 Grinding in process M05710	222	Cumulative pitch error (Fp) (pos: 95.24 -3.50; Left-Coast 7)	Cumulative pitch error (Fp) (pos: 95.24 -3.50; Left-Coast 7)	0.014001078654029	0.00000	0.041000	0.000000																604	Fp____4__L	3
35.7371 Grinding in process M05710	222	Radial runout (Fr) (PID: 7)	Radial runout (Fr) (PID: 7)	0.012677723307185	0.00000	0.055000	0.000000																660	Fr____4	3
35.7371 Grinding in process M05710	222	Tooth thickness (Ss) (PID: 7)	Tooth thickness (Ss) (PID: 7)	2.728888377268449	2.72200	0.027000	-0.027000																0	Ss____4	3
35.7371 Grinding in process M05710	222	Tooth thickness variation (As) (PID: 7)	Tooth thickness variation (As) (PID: 7)	0.006888186713852	0.00000	0.027000	-0.027000																0	As____4	3
35.7371 Grinding in process M05710	222	Dimension over 2-balls (MdK) (PID: 7)	Dimension over 2-balls (MdK) (PID: 7)	101.180417735397090	101.16400	0.073000	-0.073000																210	MdK___4	3
35.7371 Grinding in process M05710	222	Tip diameter (dk) (-3.500; 8)	Tip diameter (dk) (-3.500; 8)	98.862091169195608	98.85700	0.063000	-0.063000																202	Da__avg__4	3
35.7371 Grinding in process M05710	222	Root diameter (df) (-3.500; 9)	Root diameter (df) (-3.500; 9)	87.806327573179573	87.85000	0.150000	-0.150000																202	Df__avg__4	3
END
